#sample	Num_CNVs	Num_Auto_Del	Num_Auto_Dup	Num_ChrX_Del	Num_ChrX_Dup	Len_CNVs	Len_Auto_Del	Len_Auto_Dup	Len_ChrX_Del	Len_ChrX_Dup	Chrm_aberration
JESTS_p_Cardiff_Trios_AffyP10_GenomeWideSNP_6_G03_505144	3	1	2	0	0	285232	170202	115030	0	0	
EA08025_0650_05F_GenomeWideSNP_6_K5554	4	2	2	0	0	236963	152044	84919	0	0	
1517BPR0997_20100922_GWS6	2	1	1	0	0	114739	67885	46854	0	0	
a520532_00_791263_072009_4059642_98992	3	1	1	0	1	1243890	1108162	27061	0	108667	
a520532_00_791263_072009_4059642_98994	2	0	2	0	0	116441	0	116441	0	0	
a520532_00_791263_072009_4059642_98995	3	2	0	1	0	151569	72342	0	79227	0	
a520532_00_791263_072009_4059642_98996	1	1	0	0	0	227299	227299	0	0	0	
a520532_00_791263_072009_4059642_98997	3	3	0	0	0	118786	118786	0	0	0	
EUROS_p_Sweden_Affy_Wave4_P29_GenomeWideSNP_6_D11_521446	8	3	0	5	0	1913230	189850	0	1723380	0	
a520532_00_794841_012010_4067642_26646	2	2	0	0	0	59195	59195	0	0	0	
ARDOR_g_Plate_No__31_GenomeWideSNP_6_H01_51702	5	1	0	2	2	616501	14976	0	358129	243396	
ea08025_0558_05h_genomewidesnp_6_u498	13	7	1	5	0	1736915	718132	27106	991677	0	
NG_24503_REBEL_g_Plate_8_aff_GenomeWideSNP_6_A04_85938	4	2	2	0	0	610533	209528	401005	0	0	
CECAL_p_Sweden_Affy_Wave4_P14_GenomeWideSNP_6_G07_514506	4	3	1	0	0	201235	135973	65262	0	0	
DUDES_p_Sweden_Affy_Wave4_P18_GenomeWideSNP_6_A03_515342	5	2	3	0	0	544064	191841	352223	0	0	
MAYOR_p_Dublin_SCZ_Grp3_AffyP9_GenomeWideSNP_6_A09_184494	4	2	1	0	1	345332	315071	15384	0	14877	
PODGY_p_Sweden_Affy_Wave4_P5_GenomeWideSNP_6_G03_512654	1	1	0	0	0	24199	24199	0	0	0	
K5732_GenomeWideSNP_6	7	1	6	0	0	391096	142996	248100	0	0	
NG_37826_ALKYD_g_Plate_11_aff_GenomeWideSNP_6_F09_82932	2	0	2	0	0	31938	0	31938	0	0	
TAXED_p_Sweden_Affy_Wave4_P2_GenomeWideSNP_6_B04_510112	5	1	4	0	0	217306	17181	200125	0	0	
1176	3	1	2	0	0	167053	24189	142864	0	0	
1174	6	2	4	0	0	1785475	102554	1682921	0	0	
1170	9	5	4	0	0	315242	198519	116723	0	0	
18047_QUINT_g_Plate_No__37_GenomeWideSNP_6_B08_61958	7	6	1	0	0	277176	234832	42344	0	0	
rh5219_GenomeWideSNP_6_4feb2011	8	3	4	0	1	650598	104348	401116	0	145134	
FURLS_g_Plate_21_GenomeWideSNP_6_A09_60246	3	2	1	0	0	74417	26644	47773	0	0	
u475_n2	4	2	2	0	0	220748	59006	161742	0	0	
NG_68656_GRUBS_g_Plate_05_aff_GenomeWideSNP_6_H11_83544	2	2	0	0	0	321790	321790	0	0	0	
INNED_g_Plate_No__6_GenomeWideSNP_6_B05_52138	1	1	0	0	0	16951	16951	0	0	0	
BOONS_g_Plate_17_GenomeWideSNP_6_H01_59438	4	3	1	0	0	138272	90807	47465	0	0	
OVERS_p_Dublin_SCZ_Grp3_AffyP2_GenomeWideSNP_6_B04_162294	3	1	2	0	0	103128	18742	84386	0	0	
MACED_p_Sweden_Affy_Wave4_P22_GenomeWideSNP_6_F06_519816	3	2	1	0	0	290839	31207	259632	0	0	
NG_46804_SPOIL_g_Plate_16_GenomeWideSNP_6_D11_81030	4	1	3	0	0	134222	19632	114590	0	0	
72050_SEELY_g_GejKel_redo_plate2_GenomeWideSNP_6_E12_65786	2	0	2	0	0	221062	0	221062	0	0	
a520532_00_794354_022010_4067651_78407	2	1	1	0	0	119394	65407	53987	0	0	
a520532_00_794354_022010_4067651_78400	6	3	3	0	0	639229	291007	348222	0	0	
a520532_00_794354_022010_4067651_78401	5	1	4	0	0	212605	107373	105232	0	0	
45705_PEASE_g_Plate_No__38_GenomeWideSNP_6_H03_51516	1	1	0	0	0	20071	20071	0	0	0	
JAPAN_p_ED_Grp3_SCZ_Affy_P1_GenomeWideSNP_6_D08_150504	7	5	2	0	0	682227	142906	539321	0	0	
TAELS_p_Grp4_Redos_2_GenomeWideSNP_6_C10_196356	6	3	3	0	0	637315	156810	480505	0	0	
NG_63872_ALKYD_g_Plate_11_aff_GenomeWideSNP_6_E02_82818	4	1	3	0	0	170977	15445	155532	0	0	
a520532_00_784247_072009_4059639_79437	4	1	2	0	1	72628	32569	25984	0	14075	
NG_66020_ABUTS_g_Plate_18_aff_GenomeWideSNP_6_A08_82714	3	3	0	0	0	59989	59989	0	0	0	
16C_H10_BPDConsortium_100208	8	6	2	0	0	250896	218961	31935	0	0	
a520532_00_792928_122009_4067260_71481	10	3	5	1	1	1473313	264294	1092187	10779	106053	
ea07057_0353_10e_genomewidesnp_6_u_473	3	3	0	0	0	52848	52848	0	0	0	
IMAGE_g_Plate_No__11_GenomeWideSNP_6_G06_48658	4	3	1	0	0	268529	179100	89429	0	0	
STORE_p_Sweden_Affy_Wave4_P4_GenomeWideSNP_6_D04_510498	4	1	3	0	0	235682	110760	124922	0	0	
FIRES_g_Plate_14_GenomeWideSNP_6_A03_57168	2	2	0	0	0	52505	52505	0	0	0	
DRESS_p_Cardiff_Grp4_Affy_P5_GenomeWideSNP_6_A11_170092	4	2	2	0	0	180402	111280	69122	0	0	
ERRED_g_Plate_7_GenomeWideSNP_6_G02_56968	7	4	2	1	0	415826	205242	196848	13736	0	
15C_F07_BPDConsortium_100808	2	1	1	0	0	165692	20031	145661	0	0	
NG_19534_QUIET_g_Plate_17_aff_GenomeWideSNP_6_G05_84406	4	1	1	0	2	82143	12406	12165	0	57572	
1517BPR0497_20101005_GWS6	1	0	1	0	0	10970	0	10970	0	0	
54434_PEASE_g_Plate_No__38_GenomeWideSNP_6_C08_51586	4	3	1	0	0	119434	89229	30205	0	0	
HOSED_p_Sweden_Affy_Wave4_P20_GenomeWideSNP_6_H10_519416	3	3	0	0	0	158145	158145	0	0	0	
GRAPY_g_Plate_No__2_GenomeWideSNP_6_D10_53388	1	1	0	0	0	19910	19910	0	0	0	
WEAVE_g_Plate_8_GenomeWideSNP_6_E04_58344	5	4	1	0	0	99045	88491	10554	0	0	
HOSED_p_Sweden_Affy_Wave4_P20_GenomeWideSNP_6_A12_519226	3	2	0	0	1	355793	244035	0	0	111758	
394	4	1	1	2	0	385465	166247	19950	199268	0	
11C_B06_BPDConsortium_110508	4	1	3	0	0	175620	54583	121037	0	0	
20120118_08_GenomeWideSNP_6	2	2	0	0	0	342775	342775	0	0	0	
STAYS_g_Plate_No__1_GenomeWideSNP_6_B07_54296	4	4	0	0	0	199300	199300	0	0	0	
4C_H09_BPDConsortium_091008	3	2	1	0	0	40249	22806	17443	0	0	
CRAVE_53990_CRAVE_g_Plate_No__25_GenomeWideSNP_6_G04_50186	8	5	3	0	0	434826	279794	155032	0	0	
MUDDY_p_SwedSCZ_Batch1_Affy_3_GenomeWideSNP_6_G02_354660	3	1	2	0	0	86401	12132	74269	0	0	
MUDDY_p_SwedSCZ_Batch1_Affy_3_GenomeWideSNP_6_D02_354588	4	2	2	0	0	440756	114098	326658	0	0	
NG_24127_PLAIN_g_Plate_23_GenomeWideSNP_6_H06_80766	7	4	3	0	0	683355	119732	563623	0	0	
31039_INGLE_g_Plate_No__27_GenomeWideSNP_6_E10_50854	2	1	1	0	0	67577	16464	51113	0	0	
ARDEB_p_Sweden_Affy_Wave4_P8_GenomeWideSNP_6_E11_513112	2	0	2	0	0	48996	0	48996	0	0	
RAJAH_p_SwedSCZ_Batch1_Affy_11_GenomeWideSNP_6_A09_362210	4	2	1	1	0	184673	147383	10140	27150	0	
a520532_00_789022_122009_4061295_48310	5	2	3	0	0	172158	113323	58835	0	0	
a520532_00_789016_122009_4061295_46829	4	1	3	0	0	154270	42029	112241	0	0	
a520532_00_789022_122009_4061295_48316	3	2	1	0	0	235193	212297	22896	0	0	
BOTCH_p_Cardiff_Grp4_Affy_P3_GenomeWideSNP_6_G08_169672	6	2	4	0	0	716782	76113	640669	0	0	
LIANE_p_Cardiff_Grp4_Affy_P6_GenomeWideSNP_6_C03_170160	2	2	0	0	0	39826	39826	0	0	0	
EMEUS_66822_EMEUS_g_Plate_No__24_GenomeWideSNP_6_D08_50436	11	0	11	0	0	970405	0	970405	0	0	
INGLE_g_Plate_No__27_GenomeWideSNP_6_B01_50704	1	0	1	0	0	17490	0	17490	0	0	
50399_WROTE_g_Plate_No__36_GenomeWideSNP_6_A11_53192	4	3	1	0	0	425100	223359	201741	0	0	
LAURA_p_Sweden_B1_w4_Redos_GenomeWideSNP_6_B12_538834	3	1	0	1	1	67912	15919	0	26365	25628	
STOLE_p_Sweden_Affy_Wave4_P35_GenomeWideSNP_6_G11_522574	9	6	3	0	0	720682	538561	182121	0	0	
EUROS_p_Sweden_Affy_Wave4_P29_GenomeWideSNP_6_E08_521372	4	0	4	0	0	290001	0	290001	0	0	
LUSTY_g_Plate_9_GenomeWideSNP_6_E12_70740	6	2	4	0	0	278184	48243	229941	0	0	
6C_H01_BPDConsortium_092208	5	2	1	1	1	240426	31345	92424	12038	104619	
ROILY_g_Plate_12_GenomeWideSNP_6_C06_57988	5	2	2	0	1	448960	77365	74032	0	297563	
NG_36781_MIRED_g_Plate_9_aff_GenomeWideSNP_6_B12_85684	5	1	2	0	2	1462846	283342	537598	0	641906	
1517BPR0499_20101005_GWS6	1	0	1	0	0	11283	0	11283	0	0	
18C_C02_BPDConsortium_103008	4	3	1	0	0	75530	54195	21335	0	0	
TAXED_p_Sweden_Affy_Wave4_P2_GenomeWideSNP_6_D04_510084	4	3	1	0	0	309713	231475	78238	0	0	
JAPAN_p_ED_Grp3_SCZ_Affy_P1_GenomeWideSNP_6_D07_150488	2	2	0	0	0	269019	269019	0	0	0	
THYME_g_Plate_No__18_GenomeWideSNP_6_E08_47150	6	3	3	0	0	470817	117200	353617	0	0	
NAIVE_p_Sweden_Affy_Wave4_P26_GenomeWideSNP_6_F10_520820	6	3	2	1	0	207064	52485	128909	25670	0	
MULLS_p_Sweden_Affy_Wave4_P11_GenomeWideSNP_6_E04_513688	4	1	2	0	1	225861	26506	66232	0	133123	
WOADS_p_Sweden_Affy_Wave4_P36_GenomeWideSNP_6_B05_522762	2	1	1	0	0	388978	36058	352920	0	0	
COCOS_g_Plate_23_GenomeWideSNP_6_C12_60838	8	5	3	0	0	232201	180065	52136	0	0	
EVERT_p_Grp3_RedosD17_GenomeWideSNP_6_C12_197128	3	2	1	0	0	408246	359793	48453	0	0	
a520532_00_786207_072009_4057963_31241	2	1	1	0	0	35256	15287	19969	0	0	
a520532_00_786207_072009_4057963_31244	7	1	6	0	0	472580	47727	424853	0	0	
52182_OVULE_g_Plate_No__39_GenomeWideSNP_6_C09_51410	1	0	0	1	0	30915	0	0	30915	0	
1517BPR1268_20101220_GWS6	21	15	5	0	1	489683	363980	78121	0	47582	
5C_F02_BPDConsortium_090408	3	2	1	0	0	78395	67313	11082	0	0	
NG_12176_COLIC_g_Plate_19_aff_GenomeWideSNP_6_F05_83252	5	3	2	0	0	89929	58022	31907	0	0	
84498_OVULE_g_Plate_No__39_GenomeWideSNP_6_H02_51308	7	4	3	0	0	246866	194099	52767	0	0	
BLOOD_g_Plate_No__28_GenomeWideSNP_6_G08_50058	5	2	3	0	0	541266	192195	349071	0	0	
BLOOD_g_Plate_No__28_GenomeWideSNP_6_C09_50066	4	2	2	0	0	321864	264685	57179	0	0	
TUNED_g_Plate_13_GenomeWideSNP_6_D02_58118	4	2	2	0	0	163064	130355	32709	0	0	
a520532_00_779965_033110_4069994_79578	3	1	1	0	1	236659	132338	15696	0	88625	
ELUDE_g_Plate_15_GenomeWideSNP_6_E05_60142	6	3	2	0	1	410485	213520	67474	0	129491	
WEIRS_p_Cardiff_Grp4_Affy_P4_GenomeWideSNP_6_C02_170528	4	1	3	0	0	121401	32679	88722	0	0	
NAIVE_p_Sweden_Affy_Wave4_P26_GenomeWideSNP_6_G12_520856	17	15	2	0	0	902238	779406	122832	0	0	
10C_F09_BPDConsortium_092608	3	1	1	1	0	39655	15106	12511	12038	0	
WEIRS_p_Cardiff_Grp4_Affy_P4_GenomeWideSNP_6_A03_170540	4	2	2	0	0	187729	109215	78514	0	0	
1517BPR0743_20100826_GWS6	23	10	12	0	1	1008608	430899	520040	0	57669	
NAVAL_p_SwedSCZ_Batch1_Affy_6_GenomeWideSNP_6_D01_355546	3	2	1	0	0	81507	53571	27936	0	0	
TUNED_g_Plate_13_GenomeWideSNP_6_G05_58172	7	5	0	2	0	690288	597260	0	93028	0	
CRAVE_g_Plate_No__25_GenomeWideSNP_6_E01_50134	1	1	0	0	0	12407	12407	0	0	0	
HOLED_p_ED_Grp3_SCZ_Affy_P5_GenomeWideSNP_6_A11_180380	5	4	1	0	0	440752	79850	360902	0	0	
TOLAS_p_Sweden_Affy_Wave4_P7_GenomeWideSNP_6_A01_512960	5	4	1	0	0	384284	144352	239932	0	0	
GAZAR_p_Sweden_Affy_Wave4_P6_GenomeWideSNP_6_A07_512864	4	1	3	0	0	421064	15447	405617	0	0	
VOLES_p_SwedSCZ_Batch1_Affy_2_GenomeWideSNP_6_G12_354872	2	0	2	0	0	429701	0	429701	0	0	
ERRED_g_Plate_7_GenomeWideSNP_6_D11_57106	11	5	3	2	1	711281	208161	83816	341629	77675	
MOTHY_p_Dublin_SCZ_Grp3_AffyP5_GenomeWideSNP_6_B03_164826	7	5	2	0	0	194703	157566	37137	0	0	
ANNUL_g_Plate_No__13_GenomeWideSNP_6_F04_49584	6	5	1	0	0	586325	530589	55736	0	0	
U654_1_GenomeWideSNP_6	3	0	2	0	1	41842	0	31626	0	10216	
ARDEB_p_Sweden_Affy_Wave4_P8_GenomeWideSNP_6_C03_513234	4	3	1	0	0	211579	172094	39485	0	0	
NG_42605_SPELT_g_Gejman_redo_2_GenomeWideSNP_6_B07_91232	2	2	0	0	0	90376	90376	0	0	0	
51828_CRAVE_g_Plate_No__25_GenomeWideSNP_6_F03_50168	3	1	1	1	0	582571	23193	25045	534333	0	
a520532_00_795038_012010_4067643_32687	6	3	3	0	0	356637	160571	196066	0	0	
1517BPR0189_20100913_GWS6	9	2	7	0	0	697662	27989	669673	0	0	
K5566	4	2	2	0	0	270985	234432	36553	0	0	
FRAGS_p_Sweden_Affy_Wave4_P19_GenomeWideSNP_6_H05_519122	4	3	1	0	0	130729	87542	43187	0	0	
CRAIG_BPDConsortium_082708_IC_E5	2	0	2	0	0	96366	0	96366	0	0	
BOONS_g_Plate_17_GenomeWideSNP_6_C08_59332	7	3	4	0	0	349305	147184	202121	0	0	
OVERS_p_Dublin_SCZ_Grp3_AffyP2_GenomeWideSNP_6_F02_162270	4	2	2	0	0	110148	57729	52419	0	0	
BASED_p_Cardiff_Grp4_Affy_P7_GenomeWideSNP_6_A11_169516	3	1	2	0	0	279175	48046	231129	0	0	
HOLED_p_ED_Grp3_SCZ_Affy_P5_GenomeWideSNP_6_B06_180302	6	4	2	0	0	816835	312616	504219	0	0	
BG9016_GENOMEWIDESNP_6	3	2	0	1	0	524443	511594	0	12849	0	
MAYOR_p_Dublin_SCZ_Grp3_AffyP9_GenomeWideSNP_6_D02_184388	3	2	1	0	0	165854	29041	136813	0	0	
a520532_00_800408_053110_4074382_10010	5	3	2	0	0	929367	143355	786012	0	0	
PODGY_p_Sweden_Affy_Wave4_P5_GenomeWideSNP_6_B07_512714	1	0	0	1	0	48433	0	0	48433	0	
CECAL_p_Sweden_Affy_Wave4_P14_GenomeWideSNP_6_G09_514574	3	2	1	0	0	47603	31557	16046	0	0	
17538_PEASE_g_Plate_No__38_GenomeWideSNP_6_C06_51554	4	1	2	0	1	585687	15287	330815	0	239585	
EERIE_p_Sweden_Affy_Wave4_P12_GenomeWideSNP_6_G08_514198	3	3	0	0	0	58426	58426	0	0	0	
GAMPS_p_SwedSCZ_Batch1_Affy_14_GenomeWideSNP_6_D06_361508	5	1	4	0	0	819638	42004	777634	0	0	
EATEN_p_Sweden_Affy_Wave4_P15_GenomeWideSNP_6_G03_514756	6	2	3	0	1	593844	78776	494153	0	20915	
TAXED_p_Sweden_Affy_Wave4_P2_GenomeWideSNP_6_B09_510018	4	2	2	0	0	494289	74861	419428	0	0	
NG_28871_ROBOT_g_Plate_33_GenomeWideSNP_6_E07_94206	9	5	4	0	0	200945	73637	127308	0	0	
ADYTA_g_Plate_22_GenomeWideSNP_6_A01_59078	15	6	7	2	0	539715	223146	282077	34492	0	
1517BPR0557_20101005_GWS6	4	2	1	0	1	194942	77228	20720	0	96994	
1517BPR1340_20101220_GWS6	7	5	2	0	0	202229	130528	71701	0	0	
SQUEG_p_Cardiff_Trios_AffyP13_GenomeWideSNP_6_G11_505648	6	4	2	0	0	933829	74331	859498	0	0	
SAPID_g_Plate_No__9_GenomeWideSNP_6_G11_49314	7	4	3	0	0	255541	172118	83423	0	0	
DRESS_p_Cardiff_Grp4_Affy_P5_GenomeWideSNP_6_D11_170098	6	3	3	0	0	402017	211902	190115	0	0	
OVERS_p_Dublin_SCZ_Grp3_AffyP2_GenomeWideSNP_6_H09_162386	4	2	2	0	0	922147	101058	821089	0	0	
FILES_p_SwedSCZ_Batch1_Affy_4_GenomeWideSNP_6_E03_354422	7	5	2	0	0	504918	93700	411218	0	0	
TREYS_18746_TREYS_g_Plate_No__20_GenomeWideSNP_6_A03_48022	1	1	0	0	0	39346	39346	0	0	0	
MAYOR_p_Dublin_SCZ_Grp3_AffyP9_GenomeWideSNP_6_B09_184496	7	2	5	0	0	550015	101805	448210	0	0	
LIANE_p_Cardiff_Grp4_Affy_P6_GenomeWideSNP_6_F06_170214	4	3	1	0	0	110683	92831	17852	0	0	
SAPID_g_Plate_No__9_GenomeWideSNP_6_A08_49254	4	2	2	0	0	808557	648861	159696	0	0	
a520532_00_786203_072009_4057963_30839	6	3	3	0	0	203719	100962	102757	0	0	
NG_42334_KIRNS_g_Plate_25_aff_GenomeWideSNP_6_E10_85466	4	3	0	0	1	299857	40700	0	0	259157	
EERIE_p_Sweden_Affy_Wave4_P12_GenomeWideSNP_6_C05_514174	8	6	1	1	0	262044	161158	84579	16307	0	
a520532_00_783842_072009_4059638_79990	11	0	11	0	0	325815	0	325815	0	0	
FIBRE_p_Cardiff_Grp4_Affy_P1_GenomeWideSNP_6_F07_168054	2	1	0	1	0	65627	12581	0	53046	0	
YINCE_p_Cardiff_Trios_AffyP2_GenomeWideSNP_6_G10_500674	3	3	0	0	0	121032	121032	0	0	0	
TAXED_p_Sweden_Affy_Wave4_P2_GenomeWideSNP_6_E01_510024	1	0	1	0	0	57237	0	57237	0	0	
OBOLS_p_Sweden_Affy_Wave4_P30_GenomeWideSNP_6_E11_521582	1	1	0	0	0	45594	45594	0	0	0	
SORNS_g_Plate_30_GenomeWideSNP_6_D08_64016	6	1	2	2	1	327845	10217	89451	122124	106053	
HOSED_p_Sweden_Affy_Wave4_P20_GenomeWideSNP_6_G07_519400	2	1	1	0	0	123751	40774	82977	0	0	
MAXES_g_Plate_No__12_GenomeWideSNP_6_H07_49060	4	1	3	0	0	356090	14776	341314	0	0	
BIDES_g_Plate_No__32_GenomeWideSNP_6_D11_52046	7	2	3	0	2	488841	35055	231388	0	222398	
MACED_p_Sweden_Affy_Wave4_P22_GenomeWideSNP_6_F11_519864	4	2	2	0	0	200940	141803	59137	0	0	
WEIRS_p_Cardiff_Grp4_Affy_P4_GenomeWideSNP_6_D05_170578	3	2	1	0	0	95672	32787	62885	0	0	
IDOLS_g_Plate_19_GenomeWideSNP_6_G10_60584	3	2	1	0	0	117728	71632	46096	0	0	
NG_80433_COLIC_g_Plate_19_aff_GenomeWideSNP_6_A10_83322	8	4	4	0	0	413194	355827	57367	0	0	
BLOOD_g_Plate_No__28_GenomeWideSNP_6_D02_49956	5	2	2	1	0	2618105	2334364	214117	69624	0	
BOOTH_p_Sweden_Affy_Wave4_P16_GenomeWideSNP_6_B06_514988	4	3	1	0	0	271228	253175	18053	0	0	
a520532_00_791453_092009_4061268_14433	6	2	3	1	0	568378	54746	454448	59184	0	
